id,uuid,view_count,liked_count,title,description,cost,area,space,architect_id,created_at,updated_at
1,10001,341,,中庭のあるスキップフロアの家・オウチ32,,2500万円,東京都板橋区,2014,1,2016-10-17 17:16:21.659504,2016-10-17 17:16:21.683265
2,10002,341,,ハコノオウチ06・屋上バルコニーのある家,"



",2500万円,福島県,2014,1,2016-10-17 17:16:21.694293,2016-10-17 17:16:21.702050
3,10003,341,,ハコノオウチ04　2.5世帯住宅,"



",,東京都,2013年竣工,1,2016-10-17 17:16:21.710592,2016-10-17 17:16:21.717684
4,10004,341,,ハコノオウチ05　ルーフバルコニーのある二世帯住宅,"






",3400万円,東京都中野区,2013年竣工,1,2016-10-17 17:16:21.728562,2016-10-17 17:16:21.737066
5,10005,341,,ハコノオウチ03　スモールオフィスのある家,"
",2800万円,神奈川県葉山町,2013年竣工,1,2016-10-17 17:16:21.744673,2016-10-17 17:16:21.753736
6,20001,341,,辻堂のいえ,"

",,神奈川県,2015.04,2,2016-10-17 17:16:21.761735,2016-10-17 17:16:21.770400
7,20002,341,,木立のいえ,,,長野県御代田町,2014,2,2016-10-17 17:16:21.781086,2016-10-17 17:16:21.789269
8,20003,341,,方形屋根のいえ,"


",,山形県酒田市,2014年,2,2016-10-17 17:16:21.797454,2016-10-17 17:16:21.806268
9,20004,341,,眺望のいえ,"
",3000万円,神奈川県横浜市,2014年,2,2016-10-17 17:16:21.813607,2016-10-17 17:16:21.821355
10,20005,341,,「くの字」のいえ,"


",,千葉県,2013年竣工,2,2016-10-17 17:16:21.834978,2016-10-17 17:16:21.842490
11,30001,341,,ヒカリノカタチ,,2000万円,千葉県,2008,3,2016-10-17 17:16:21.850092,2016-10-17 17:16:21.858541
12,30002,341,,F-house,"

",2800万円,東京都,2010,3,2016-10-17 17:16:21.866043,2016-10-17 17:16:21.873625
13,30003,341,,M-Loft,"
",2000万円,東京都杉並区,2011,3,2016-10-17 17:16:21.880843,2016-10-17 17:16:21.889019
14,30004,341,,TN-house,"








",6500万円,東京都,,3,2016-10-17 17:16:21.898152,2016-10-17 17:16:21.906600
15,30005,341,,Arches,"
",2000万円,東京都,2010,3,2016-10-17 17:16:21.913889,2016-10-17 17:16:21.921606
16,40001,341,,運ぶ家,"
",,東京都大田区大森町,2015年6月,4,2016-10-17 17:16:21.932764,2016-10-17 17:16:21.941593
17,40002,341,,巡る家,"










",,東京都世田谷区,2014年7月,4,2016-10-17 17:16:21.948839,2016-10-17 17:16:21.956279
18,40003,341,,切り通しの家,"




",,東京都渋谷区代々木,2013年4月,4,2016-10-17 17:16:21.962308,2016-10-17 17:16:21.971212
19,50001,341,,SRK,"





",,東京都目黒区,2014年,5,2016-10-17 17:16:21.977837,2016-10-17 17:16:21.986100
20,50002,341,,003,,,,,5,2016-10-17 17:16:21.993372,2016-10-17 17:16:22.001019
21,50003,341,,002,,,,,5,2016-10-17 17:16:22.008386,2016-10-17 17:16:22.015112
22,50004,341,,001,,,,,5,2016-10-17 17:16:22.021091,2016-10-17 17:16:22.029309
23,60001,341,,２人と２匹の家,,,東京都稲城市,2011年夏完成,6,2016-10-17 17:16:22.041183,2016-10-17 17:16:22.049117
24,60002,341,,凸（でこ）の家,"

",,茨城県つくば市,2011年春完成,6,2016-10-17 17:16:22.056765,2016-10-17 17:16:22.074182
25,60003,341,,２つ屋根の家,"
",,茨城県つくば市,2011年春完成,6,2016-10-17 17:16:22.081205,2016-10-17 17:16:22.089155
26,60004,341,,晴耕雨読の家,"
",,茨城県つくば市,2010年夏完成,6,2016-10-17 17:16:22.096882,2016-10-17 17:16:22.104489
27,60005,341,,hitachino-ishizaki,"


",,茨城県牛久市,2010年初夏完成,6,2016-10-17 17:16:22.110351,2016-10-17 17:16:22.117753
28,70001,341,,FU_PU（風布）　－素材感あふれる素の空間－,"

",,,,7,2016-10-17 17:16:22.124762,2016-10-17 17:16:22.132749
29,70002,341,,ナガヤネ　－長い屋根と土間の家－,"









",,,,7,2016-10-17 17:16:22.143709,2016-10-17 17:16:22.150221
30,70003,341,,ミドリノイエ　－屋上に庭のある家－,"












",,,,7,2016-10-17 17:16:22.157839,2016-10-17 17:16:22.165250
31,80001,341,,SIGN,"








",,東京都世田谷区,2013年5月,8,2016-10-17 17:16:22.172064,2016-10-17 17:16:22.178785
32,80002,341,,FLEUVE,"








",,静岡県浜松市,竣工：2013年5月,8,2016-10-17 17:16:22.186004,2016-10-17 17:16:22.193386
33,80003,341,,LATTICE,"








",,東京都台東区,2013年3月,8,2016-10-17 17:16:22.200764,2016-10-17 17:16:22.208330
34,80004,341,,ARROW,"

",,東京都品川区,2013年3月,8,2016-10-17 17:16:22.215000,2016-10-17 17:16:22.221122
35,80005,341,,ALLEY,"



",,,竣工：2013年2月,8,2016-10-17 17:16:22.228352,2016-10-17 17:16:22.234557
36,90001,341,,N house in Warabi 蕨の家,"





",,,,9,2016-10-17 17:16:22.245416,2016-10-17 17:16:22.253088
37,90002,341,,伊予三島の家,,,,,9,2016-10-17 17:16:22.260645,2016-10-17 17:16:22.268046
38,100001,341,,003,,,,,10,2016-10-17 17:16:22.275750,2016-10-17 17:16:22.282532
39,100002,341,,002,,,,,10,2016-10-17 17:16:22.289849,2016-10-17 17:16:22.297873
40,100003,341,,001,,,,,10,2016-10-17 17:16:22.305204,2016-10-17 17:16:22.312546
41,100004,341,,twist,,,,,10,2016-10-17 17:16:22.318636,2016-10-17 17:16:22.325942
42,100005,341,,flat,,,,,10,2016-10-17 17:16:22.333437,2016-10-17 17:16:22.345609
43,110001,341,,G-HOUSE,,,,2015年,11,2016-10-17 17:16:22.352729,2016-10-17 17:16:22.360430
44,110002,341,,Northern Nautilus,,,,2012年,11,2016-10-17 17:16:22.366282,2016-10-17 17:16:22.373653
45,110003,341,,N-HOUSE,,,,2011年,11,2016-10-17 17:16:22.381128,2016-10-17 17:16:22.389385
46,110004,341,,守谷T邸,,,,2008年,11,2016-10-17 17:16:22.399801,2016-10-17 17:16:22.406084
47,120001,341,,808,,1200万円,神奈川県,2014,12,2016-10-17 17:16:22.413011,2016-10-17 17:16:22.420971
48,120002,341,,Tre Vorte,"














",,,,12,2016-10-17 17:16:22.427088,2016-10-17 17:16:22.433387
49,120003,341,,南青山M,"















",,,,12,2016-10-17 17:16:22.440617,2016-10-17 17:16:22.453775
50,120004,341,,海辺のシェルハウス,"













",,,,12,2016-10-17 17:16:22.461221,2016-10-17 17:16:22.468800
51,120005,341,,大井の家,"













",,東京都,,12,2016-10-17 17:16:22.474595,2016-10-17 17:16:22.481690
