"1","石川淳","1","10001","中庭のあるスキップフロアの家・オウチ32","2500万円","東京都板橋区","2014","","外観は切妻型の「OUCHI」シリーズのデザイン住宅で、室内は2階をリビング、1階を個室配置としたスキップフロアです。"
"1","石川淳","2","10002","ハコノオウチ06・屋上バルコニーのある家","2500万円","福島県","2014","



","福島県福島市に完成した箱型住宅です。"
"1","石川淳","3","10003","ハコノオウチ04　2.5世帯住宅","","東京都","2013年竣工","



","夫婦と子供3人と母と妹の7人のための住宅"
"1","石川淳","4","10004","ハコノオウチ05　ルーフバルコニーのある二世帯住宅","3400万円","東京都中野区","2013年竣工","






","東京都中野区で完成した分離型二世帯住宅です。"
"1","石川淳","5","10005","ハコノオウチ03　スモールオフィスのある家","2800万円","神奈川県葉山町","2013年竣工","
","高低差のある敷地を生かし、クルマ好きのご主人の仕事場を道路レベルに設定しました。"
"2","NAOI","1","20001","辻堂のいえ","","神奈川県","2015.04","

","この住宅を設計するにあたって、私たちはその借景、原風景に似合う素朴でさりげない小屋のような住まいをつくりたいと考えた。周囲の自然を、室内にいる時には眺望を楽しむための風景として、庭やテラスで過ごす時には一体となって楽しむ事が出来る空間として2つの楽しみ方を出来るような提案をしている。そうすることで、洗練されながらも、気取らずに、何気ない日常の生活をシンプルに楽しむことが出来るようになっている。技術や価値観は時代とともに今後も変化していくであろうが、自然を感じるという普遍的な欲求を満たしているこの住宅が長く愛される建築になっていくことを願っている。"
"2","NAOI","2","20002","木立のいえ","","長野県御代田町","2014","","長野県御代田町に建つ別荘。"
"2","NAOI","3","20003","方形屋根のいえ","","山形県酒田市","2014年","


","山形県酒田市に建つ住宅。"
"2","NAOI","4","20004","眺望のいえ","3000万円","神奈川県横浜市","2014年","
","横浜の高台に建つ、アート好きのクライアントのための住宅。"
"2","NAOI","5","20005","「くの字」のいえ","","千葉県","2013年竣工","


","夫婦ふたりと猫の住む住宅。「くの字」のプランが要望だった。クライアントは東南に開いたくの字をイメージしていたが、森の借景を活かすため、逆の「くの字」を提案した。視線が森に向くことで、大開口にも関わらず、向かい側の家や道路からの視線が気にならず、オープンでも周囲を気にせずくつろげる気持ちのいい空間になった。また、場に変化も生まれダイニングとリビングはワンルームでありながら、ちがった領域をつくっており、生活に奥行きをもたらしている。木製の引き戸を開けておくと2階全体はバルコニーのように開放的な空間となる。夜は木製のブラインドで視線をさえぎり、プライベートな時間をすごし、日中は風景を取り込みながらオープンに暮らす、メリハリのある生活スタイルをつくり出している。"
"3","安藤毅","1","30001","ヒカリノカタチ","2000万円","千葉県","2008","","築30年の実家を改修した２世帯住宅です。"
"3","安藤毅","2","30002","F-house","2800万円","東京都","2010","

","敷地は都内の閑静な住宅街、夫婦と子供の為の住宅です。"
"3","安藤毅","3","30003","M-Loft","2000万円","東京都杉並区","2011","
","RC造、戸建ての2つのフロアーを全面改装したプロジェクトです。"
"3","安藤毅","4","30004","TN-house","6500万円","東京都","","








","敷地は都内の閑静な住宅地、平坦な敷地に夫婦と母の為の建てたRC造3階建ての２世帯住宅です。外装は杉貫板の型枠を縦に使ったコンクリート打放し仕上げとして彫刻的な力強い印象を作っています。"
"3","安藤毅","5","30005","Arches","2000万円","東京都","2010","
","2棟長屋の一方をアトリエ＆サロン兼住宅としてリノベーションしたプロジェクト。"
"4","古谷俊一","1","40001","運ぶ家","","東京都大田区大森町","2015年6月","
","昭和の趣を残す８ 棟の木造住宅を順次リノベーションして作りあげてきた大森ロッヂでは、路地を介した入居者間の緩やかなつながりをもつコミュニティが様々なイベントを通じて育まれてきました。"
"4","古谷俊一","2","40002","巡る家","","東京都世田谷区","2014年7月","










","クライアント 個人オーナー"
"4","古谷俊一","3","40003","切り通しの家","","東京都渋谷区代々木","2013年4月","




","渋谷区代々木。代々木八幡に対面するこの家は、ベランダに立つとまるで軽井沢かどこかの森のなかに佇んでいる錯覚に陥ります。緑に包まれていることがこんなに気持ち良いなんて、とあらためて深呼吸をしたくなるほど。"
"5","井手孝太郎","1","50001","SRK","","東京都目黒区","2014年","





",""
"5","井手孝太郎","2","50002","003","","","","",""
"5","井手孝太郎","3","50003","002","","","","",""
"5","井手孝太郎","4","50004","001","","","","",""
"6","とりやまあきこ","1","60001","２人と２匹の家","","東京都稲城市","2011年夏完成","","延べ床２０坪の小さなお家です。"
"6","とりやまあきこ","2","60002","凸（でこ）の家","","茨城県つくば市","2011年春完成","

","１階の上に２階がのっかった「凸」のような形のお家です。"
"6","とりやまあきこ","3","60003","２つ屋根の家","","茨城県つくば市","2011年春完成","
","こうのとりの翼のように優しく家族を包み込む２つの屋根を持つお家です。"
"6","とりやまあきこ","4","60004","晴耕雨読の家","","茨城県つくば市","2010年夏完成","
","晴れた日はお庭で畑を耕し、雨の日は家の中でのんびり過ごす。"
"6","とりやまあきこ","5","60005","hitachino-ishizaki","","茨城県牛久市","2010年初夏完成","


","田園風景を見渡す丘の上にオープンした、素敵なレストランです。"
"7","安河内 健司/西岡 久実","1","70001","FU_PU（風布）　－素材感あふれる素の空間－","","","","

","都内のマンション１室のフルリノベーションです。"
"7","安河内 健司/西岡 久実","2","70002","ナガヤネ　－長い屋根と土間の家－","","","","









","広くて長い敷地の特徴をいかした平屋の住宅です。"
"7","安河内 健司/西岡 久実","3","70003","ミドリノイエ　－屋上に庭のある家－","","","","












","４世代９人＋１匹が住まう２世帯住宅です。"
"8","黒崎敏","1","80001","SIGN","","東京都世田谷区","2013年5月","








","システムエンジニアのご主人と看護師の奥様は共に30代。小さなお子さんと3人で暮らすために購入したのは、東京でも人気のあるエリア。間口が小さく奥行きの深いのコンパクトな敷地である。"
"8","黒崎敏","2","80002","FLEUVE","","静岡県浜松市","竣工：2013年5月","








","ヘアサロンオーナー兼スタイリストのご主人は浜松市内で注目のエリアの用地を購入し、奥様と小さなお子さんとの３人で新居を構えるにあたり新しいサロン併用の住宅を希望された。"
"8","黒崎敏","3","80003","LATTICE","","東京都台東区","2013年3月","








","ファサードが前面木製ルーバーで覆われたこの住宅は東京の東部に建つ単身者の住まい。間口が狭く、奥行きが深い鰻の寝床のような敷地に対し、大型車一台分のピロティガレージを確保するためにRC薄肉ラーメン構造を採用した。"
"8","黒崎敏","4","80004","ARROW","","東京都品川区","2013年3月","

","実家の敷地の一部を利用した住宅「ARROW」は下階の一部を写真スタジオとして使用し、玄関を設けた2階部分に夫婦と娘が生活する空間を設えた「SOHO」。分筆された敷地は間口が狭く奥行きが深い「鰻の寝床」であることから、母屋との距離感やコントラストを考慮しながらアプローチの奥行きを生かした外観デザインが求められた。�"
"8","黒崎敏","5","80005","ALLEY","","","竣工：2013年2月","



","8年前に墨田区で設計・監理を行った「MINI」のクライアントが結婚し、東京スカイツリーにも程近い下町の風情が残る小さな敷地を購入した。今度は夫婦のための家をつくりたいとそのご主人より依頼を受け、記念すべきAPOLLO２棟目のプロジェクトがスタートした。"
"9","山中祐一郎","1","90001","N house in Warabi 蕨の家","","","","





",""
"9","山中祐一郎","2","90002","伊予三島の家","","","","",""
"10","粕谷淳司/粕谷奈緒子","1","100001","003","","","","",""
"10","粕谷淳司/粕谷奈緒子","2","100002","002","","","","",""
"10","粕谷淳司/粕谷奈緒子","3","100003","001","","","","",""
"10","粕谷淳司/粕谷奈緒子","4","100004","twist","","","","",""
"10","粕谷淳司/粕谷奈緒子","5","100005","flat","","","","",""
"11","玉上貴人","1","110001","G-HOUSE","","","2015年","",""
"11","玉上貴人","2","110002","Northern Nautilus","","","2012年","",""
"11","玉上貴人","3","110003","N-HOUSE","","","2011年","",""
"11","玉上貴人","4","110004","守谷T邸","","","2008年","",""
"12","廣部剛司","1","120001","808","1200万円","神奈川県","2014","","スカッシュというスポーツを始めたことで出会い、長年お付き合いをさせて頂いているご夫婦。スカッシュと共に、美味しいものを食べるという食いしん坊な部分でも、よくご一緒させて頂いています。"
"12","廣部剛司","2","120002","Tre Vorte","","","","














","すでにそこにあったかのような"
"12","廣部剛司","3","120003","南青山M","","","","















","都心にどう住まうか"
"12","廣部剛司","4","120004","海辺のシェルハウス","","","","













","変奏の行方"
"12","廣部剛司","5","120005","大井の家","","東京都","","













","光の移り変わりを感じる器として"
"13","鈴木宏幸","1","130001","037軽井沢 I さんの家","","長野県軽井沢町","","









","軽井沢の森に佇む山荘です。"
"13","鈴木宏幸","2","130002","040軽井沢Cさんの家","","長野県軽井沢町","","


","軽井沢の森に佇む山荘の増築です。"
"13","鈴木宏幸","3","130003","035カルイザワハウス","6000万円","長野県軽井沢町","","


","軽井沢に川のせせらぎが心地いい別荘です。"
"13","鈴木宏幸","4","130004","027甲府 I さんの家","12000万円","山梨県甲府市","","


","富士山の見える丘に建つ二世帯住宅です。"
"13","鈴木宏幸","5","130005","029那須Hさんの家","5500万円","栃木県那須町","","","那須の森にたつ別荘です。"
"14","成瀬友梨/猪熊純","1","140001","スプリットハウス","","東京都","2014.1","","この住宅は、1階と2階を切り離し、間に360°開口部の中間層を設けた建築である。"
"14","成瀬友梨/猪熊純","2","140002","板橋の立体住居","","東京都板橋区","2014年12月","




","この建築は、夫婦と子供2人（といっても大学生以上）、それに祖父の大人5人のための住宅である。家族ではありつつも、5人はそれぞれが独立した大人であり、自分のライフスタイルをもっている。これは、家長を元に家族内の立場が決まっていた頃の家族とは異なる、「家族全員がそれぞれ主体」という現代的な状況といえる。私たちはこうした構成の家族に対して、ハコである住宅にも、それに相応しい空間が必要と考えた。"
"14","成瀬友梨/猪熊純","3","140003","GARDEN HOUSE","","神奈川県","2013年6月","



","この住宅は、海沿いの温暖な敷地に建つ夫妻の家です。"
"14","成瀬友梨/猪熊純","4","140004","ROOM 101","","東京都渋谷区","2006年7月","


","このプロジェクトは、東京都渋谷区にある分譲マンションのLDK部分のリノベーションです。"
"14","成瀬友梨/猪熊純","5","140005","世田谷フラット","","","","




","これは、壁式構造の共同住宅の内装プロジェクトです。 もともと広めの間取りと、第一種低層地域の3階という恵まれた環境の一方で、壁をほとんど変更出来ないという難点もありました。�"
"15","篠崎弘之","1","150001","HouseY","","","2012","





","新宿の超高層ビル群から少し離れた東京の都心の住宅街の中に建つ、２世帯の家族のための住宅。"
"15","篠崎弘之","2","150002","HouseK","","","2011","

","東京郊外の閑静な住宅地に建つ、二世帯の家族のための住宅。"
"15","篠崎弘之","3","150003","HouseH","","","2012","


","千葉県の郊外に建つ、若い夫婦と小さな子供のための住宅。"
"15","篠崎弘之","4","150004","HouseT","","","2012","


","夫婦のアトリエも兼ねた、東京の都心の住宅街の中に建つ住宅。"
