建築家ID,建築家名,家No,家ID（自動）,家の名前,費用,実施エリア,実施時期（年）,延床面積,内容,URL
1,石川淳,1,10001,中庭のあるスキップフロアの家・オウチ32,2500万円,東京都板橋区,2014,92平米,外観は切妻型の「OUCHI」シリーズのデザイン住宅で、室内は2階をリビング、1階を個室配置としたスキップフロアです。,https://suvaco.jp/project/7vl2Kbmsbb
,,,,,,,,,玄関を両階の間の高さに設定することで、外観の特徴の外階段と室内での変化ある空間を獲得しました。,
,,,,,,,,,玄関フロアの高さには緑の植栽で覆われた小さな中庭があり、書斎、子供室、リビング、和室、浴室といった主要な部屋から見ることができます。,
,,,,,,,,,キッチンは対面式として、背面は引き戸式のパントリーを採用し、洗濯コーナーもキッチン横に配置した家事動線に考慮した計画となっています。,
,,,,,,,,,天窓と中庭からは季節と時間が織りなす光を毎日取り入れることができます。,
1,石川淳,2,10002,ハコノオウチ06・屋上バルコニーのある家,2500万円,福島県,2014,107平米,福島県福島市に完成した箱型住宅です。,https://suvaco.jp/project/lFtczQouoO
,,,,,,,,,駅の近くの市街地の中で、隣家やマンションに囲まれ、また隣接する駐車場にはもいずれ中層程度の建物が建つ可能性もありました。,
,,,,,,,,,そのため、開口を大きく取るのでは無く、横スリット窓でプライバシーを守りながら眺望を取り込む手法をとっています。又、明るい2階にリビングを設け、スキップフロアで半層上がった屋上バルコニーとリビングを隣接させて、プライベートな空がリビングから望めるように設計しています。,
,,,,,,,,,特徴的な外観の斜め壁はその内側が光り庭になっていて、和室、寝室、浴室のプライバシーを隣家から守ります。,
,,,,,,,,,緩い片流れ屋根を採用したハコ型のデザインはシンプルでミニマルなデザインを実現する事と、施主の要望から太陽光パネルを設置した時に建物方位の制限を受けづらくするための物でもあります。,
1,石川淳,3,10003,ハコノオウチ04　2.5世帯住宅,,東京都,2013年竣工,137平米,夫婦と子供3人と母と妹の7人のための住宅,https://suvaco.jp/project/XD6n1K81do
,,,,,,,,,布作家の妹さんのアトリエがあり、その作品展示のための大窓が外観の特徴になっています。,
,,,,,,,,,,
,,,,,,,,,母の生活を平面的にするため、1階にLDKとサニタリー、母の部屋を配置、さらに訪問者を受け入れるアトリエを1階に置きました。,
,,,,,,,,,,
,,,,,,,,,階段吹抜を中心に2階へつながり、吹抜の廻りに子供達の部屋を配置し、勉強スペースや家事室を吹抜の廻りにめぐらせました。,
,,,,,,,,,,
,,,,,,,,,2014年10月18日にテレビ朝日の「渡辺篤史の建もの探訪」で放送されます。,
1,石川淳,4,10004,ハコノオウチ05　ルーフバルコニーのある二世帯住宅,3400万円,東京都中野区,2013年竣工,131平米,東京都中野区で完成した分離型二世帯住宅です。,https://suvaco.jp/project/hepj6X3I1W
,,,,,,,,,夫婦2人と母1人の二世帯住宅で、1階部分を母の家とし、夫婦2人の個室とサニタリーを2階に。3階は屋上バルコニーにつながるリビングダイニングの空間としています。道路を挟んでお向かいには桜の木のある広場があり、その景色を取り込むために正方形の大きな窓をそれぞれの世帯に採用しました。内部は完全分離式で、玄関はそれぞれにありますが非常用の通路として両家をつなぐドアを設置して法令上は1住戸としています。一見するとRC造のような四角い外観ですが、構造は木造在来軸組工法とし、工事費を圧縮しています。狭い道からの高さ制限をかわしながら整ったハコ型の家としてデザインした住宅です。,
1,石川淳,5,10005,ハコノオウチ03　スモールオフィスのある家,2800万円,神奈川県葉山町,2013年竣工,102平米,高低差のある敷地を生かし、クルマ好きのご主人の仕事場を道路レベルに設定しました。,https://suvaco.jp/project/DkxM3pGk3f
,,,,,,,,,建物内部でも敷地高低差を生かしながら、寝室を内包した黒い箱と、それをくるむ形の白い箱をかぶせた構成とし、大小二つの箱の隙間にはサニタリーや外部とのバッファゾーンとして機能しています。黒い箱の上にはダイニングとキッチンを配置し、そこから1ｍほど浮いた高さにリビングを設定しています。さらにダイニングの上には屋上テラスを配置し、北面大窓からの自然採光を建物全域へ導けるように計画しています。,
,,,,,,,,,また、二つの箱の隙間と2つのレベルの床の間は重力換気が通るように計画しています。,
2,NAOI,1,20001,辻堂のいえ,,神奈川県,2015.04,150平米,この住宅を設計するにあたって、私たちはその借景、原風景に似合う素朴でさりげない小屋のような住まいをつくりたいと考えた。周囲の自然を、室内にいる時には眺望を楽しむための風景として、庭やテラスで過ごす時には一体となって楽しむ事が出来る空間として2つの楽しみ方を出来るような提案をしている。そうすることで、洗練されながらも、気取らずに、何気ない日常の生活をシンプルに楽しむことが出来るようになっている。技術や価値観は時代とともに今後も変化していくであろうが、自然を感じるという普遍的な欲求を満たしているこの住宅が長く愛される建築になっていくことを願っている。,https://suvaco.jp/project/MzvaSz2vIN
2,NAOI,2,20002,木立のいえ,,長野県御代田町,2014,160平米,長野県御代田町に建つ別荘。,https://suvaco.jp/project/kodachi
,,,,,,,,,別荘でありながら、将来的には定住を望まれていたため、別荘というよりは住宅に近い感覚でつくられています。,
,,,,,,,,,森の中の木立の中に居るような感覚を味わうことの出来る空間構成で、いろいろなところに視線が抜けるようになっています。,
,,,,,,,,,インテリアは北欧デザインの大好きなクライアントの為に、家具や照明器具を選定しています。,
