id,uuid,title,image_url,liked_count,passed_count,description,photo_type,priority,architect_id,house_id,created_at,updated_at
1,10001000,交差点にあるオウチ,e79c9zd4df.jpg,123,34,ミニマルデザインの外観です。中庭の木格子が左側側面にあり、そこからリビングへ採光しています。,,0,,1,2016-10-17 17:16:23.706129,2016-10-17 17:16:23.715322
2,10001001,アプローチ,752f5ffd6b.jpg,123,34,玄関アプローチです。歩道の緑地帯を借景しています。,,0,,1,2016-10-17 17:16:23.721153,2016-10-17 17:16:23.728425
3,10001002,跳ね出し玄関,18z2e94z66.jpg,123,34,シンプルながらしっかり個性のある玄関です,,0,,1,2016-10-17 17:16:23.734693,2016-10-17 17:16:23.742051
4,10001003,玄関ポーチ,da478b1e45.jpg,123,34,玄関ポーチから中庭を通して書斎までを見通します。,,0,,1,2016-10-17 17:16:23.749102,2016-10-17 17:16:23.756459
5,10001004,緑の借景をもらう玄関,8d3892ec5e.jpg,123,34,玄関は緑地帯の上にあり、周囲を見渡す高さにあります。,,0,,1,2016-10-17 17:16:23.762102,2016-10-17 17:16:23.771134
6,10001005,玄関引き戸,df44dac9a5.jpg,123,34,玄関と室内側には乳白ポリカーボネートの扉を付けています。,,0,,1,2016-10-17 17:16:23.776974,2016-10-17 17:16:23.783911
7,10001006,中庭を見下ろす,a699874993.jpg,123,34,玄関、中庭、手前に書斎が連なります。,,0,,1,2016-10-17 17:16:23.793984,2016-10-17 17:16:23.801376
8,10001007,書斎,46a1dd233z.jpg,123,34,中庭に面した書斎コーナーです。奥様が家でお仕事をされるスペースです。,,0,,1,2016-10-17 17:16:23.808159,2016-10-17 17:16:23.814175
9,10001008,中庭を見下ろすリビング,2167aceac7.jpg,123,34,右下に玄関と中庭、右上は予備室、左はアイランドキッチンです。,,0,,1,2016-10-17 17:16:23.821216,2016-10-17 17:16:23.828457
10,10001009,廊下から見上げるリビング,5b7f1c3569.jpg,123,34,玄関のフロアからリビングを見上げ、また個室のある1階を見下ろします。,,0,,1,2016-10-17 17:16:23.834367,2016-10-17 17:16:23.841918
11,10001010,勾配天井のリビングダイニング,4z58b87cz7.jpg,123,34,ミニマルデザインですが、シナ合板の木目を取り込んだ優しい空間です。,,0,,1,2016-10-17 17:16:23.849557,2016-10-17 17:16:23.856901
12,10001011,キッチン全景,7c28ed31af.jpg,123,34,ミニマルデザインのアイランドキッチンです。,,0,,1,2016-10-17 17:16:23.862756,2016-10-17 17:16:23.871505
13,10001012,リビング,58e27b7e56.jpg,123,34,中庭に開いた開口から東の光が入ります。右の壁には作り付けのAVボードを備えます。,,0,,1,2016-10-17 17:16:23.877666,2016-10-17 17:16:23.885640
14,10001013,キッチン,e47c5a7z48.jpg,123,34,安価なi形キッチンを造作でアイランド形で利用しています。,,0,,1,2016-10-17 17:16:23.895641,2016-10-17 17:16:23.902024
