家ID,画像のタイトル,部屋の種別,部屋のスタイル,説明文,画像URL,画像Path
10001,交差点にあるオウチ,外観,,ミニマルデザインの外観です。中庭の木格子が左側側面にあり、そこからリビングへ採光しています。,https://cdn.suvaco.jp/rooms/110878/e79c9zd4df.jpg,e79c9zd4df.jpg
10001,アプローチ,玄関,ナチュラル,玄関アプローチです。歩道の緑地帯を借景しています。,https://cdn.suvaco.jp/rooms/110876/752f5ffd6b.jpg,752f5ffd6b.jpg
10001,跳ね出し玄関,玄関,,シンプルながらしっかり個性のある玄関です,https://cdn.suvaco.jp/rooms/110874/18z2e94z66.jpg,18z2e94z66.jpg
10001,玄関ポーチ,玄関,,玄関ポーチから中庭を通して書斎までを見通します。,https://cdn.suvaco.jp/rooms/110872/da478b1e45.jpg,da478b1e45.jpg
10001,緑の借景をもらう玄関,玄関,,玄関は緑地帯の上にあり、周囲を見渡す高さにあります。,https://cdn.suvaco.jp/rooms/110870/8d3892ec5e.jpg,8d3892ec5e.jpg
10001,玄関引き戸,玄関,,玄関と室内側には乳白ポリカーボネートの扉を付けています。,https://cdn.suvaco.jp/rooms/110868/df44dac9a5.jpg,df44dac9a5.jpg
,,,,開けば外の緑地が見え、閉めると室内のプライバシーを確保できます。,,
10001,中庭を見下ろす,玄関,,玄関、中庭、手前に書斎が連なります。,https://cdn.suvaco.jp/rooms/110866/a699874993.jpg,a699874993.jpg
10001,書斎,書斎,,中庭に面した書斎コーナーです。奥様が家でお仕事をされるスペースです。,https://cdn.suvaco.jp/rooms/110864/46a1dd233z.jpg,46a1dd233z.jpg
10001,中庭を見下ろすリビング,リビングダイニング,,右下に玄関と中庭、右上は予備室、左はアイランドキッチンです。,https://cdn.suvaco.jp/rooms/110862/2167aceac7.jpg,2167aceac7.jpg
10001,廊下から見上げるリビング,リビングダイニング,,玄関のフロアからリビングを見上げ、また個室のある1階を見下ろします。,https://cdn.suvaco.jp/rooms/110860/5b7f1c3569.jpg,5b7f1c3569.jpg
10001,勾配天井のリビングダイニング,リビングダイニング,,ミニマルデザインですが、シナ合板の木目を取り込んだ優しい空間です。,https://cdn.suvaco.jp/rooms/110858/4z58b87cz7.jpg,4z58b87cz7.jpg
,,,,外に開いた窓を最小にしてプライバシーを守り、天窓や中庭から採光しています。,,
10001,キッチン全景,キッチン,,ミニマルデザインのアイランドキッチンです。,https://cdn.suvaco.jp/rooms/110856/7c28ed31af.jpg,7c28ed31af.jpg
10001,リビング,リビングダイニング,,中庭に開いた開口から東の光が入ります。右の壁には作り付けのAVボードを備えます。,https://cdn.suvaco.jp/rooms/110854/58e27b7e56.jpg,58e27b7e56.jpg
10001,キッチン,キッチン,,安価なi形キッチンを造作でアイランド形で利用しています。,https://cdn.suvaco.jp/rooms/110852/e47c5a7z48.jpg,e47c5a7z48.jpg
,,,,キッチン横に造作でカウンターを設けて、下部には海外製の食洗機を組込みました。背面の引き戸の中には冷蔵庫と食器パントリーが備わります。,,
10001,和室,その他,和,ちいさな予備室です。大人2人展度が宿泊できるようにスペースをとりました。,https://cdn.suvaco.jp/rooms/110848/accfb28a72.jpg,accfb28a72.jpg
10001,浴室,バス/トイレ,,中庭に小窓のある浴室です。隣地の高層マンションなどからプライバシーを守りつつ中庭に開いた窓を持ちます。,https://cdn.suvaco.jp/rooms/110846/dceee79858.jpg,dceee79858.jpg
10001,中庭見下ろし,アウトドア,,中庭みおろしです。予備室、浴室の窓が面しています。,https://cdn.suvaco.jp/rooms/110844/f4f3b75dda.jpg,f4f3b75dda.jpg
10001,1階を見下ろす,その他,,スキップフロアの中間階から1階を見下ろします。,https://cdn.suvaco.jp/rooms/110842/b4fzf814ae.jpg,b4fzf814ae.jpg
10002,外観夜景,外観,モダン,,https://cdn.suvaco.jp/rooms/73061/3e8a53485f.jpg,3e8a53485f.jpg
10002,外観,外観,モダン,斜めの壁の内側は光庭になっていて、寝室や浴室、予備室が面しておかれ、外部からの視線が入らない。,https://cdn.suvaco.jp/rooms/73063/39d28d1198.jpg,39d28d1198.jpg
10002,玄関アプローチ,玄関,,玄関ドアは木製の製作品。袖のFIXには照明、表札、ポストを備える,https://cdn.suvaco.jp/rooms/73065/73ae5cf6ze.jpg,73ae5cf6ze.jpg
10002,墨モルタルの玄関ホール,玄関,,玄関土間の右には予備室が面し、正面には2階リビングへの階段がある。,https://cdn.suvaco.jp/rooms/73067/5636296da9.jpg,5636296da9.jpg
,,,,階段下には蓄熱暖房器を配置し、冬期の寒さを家の中心から暖めます。,,
10002,玄関横の予備室,玄関,,玄関横の予備室は畳を敷いた和室。,https://cdn.suvaco.jp/rooms/73069/fd6f234d2a.jpg,fd6f234d2a.jpg
,,,,ちょっとした来客もここで対応でき、外観にあった斜めの壁により外からはうかがい知れない光庭から採光をとっている。,,
10002,1階,ベッドルーム,モダン,1階は寝室、予備室、収納室、サニタリーがある白い空間です,https://cdn.suvaco.jp/rooms/73071/z456918dca.jpg,z456918dca.jpg
10002,寝室,ベッドルーム,モダン,ベッドルームの窓は目隠し壁をつくり光庭から採光しています。,https://cdn.suvaco.jp/rooms/73073/8a383df4d4.jpg,8a383df4d4.jpg
,,,,隣家の目をきにせず、窓を開けられます。,,
10002,階段,その他,,スキップフロアをあがる階段は最上階から光を玄関へ落とす。,https://cdn.suvaco.jp/rooms/73075/353e8c1a98.jpg,353e8c1a98.jpg
10002,床下納戸,収納,,1階と2階の間には高さ1.4m未満の収納室がある,https://cdn.suvaco.jp/rooms/73077/1ee3zdze2f.jpg,1ee3zdze2f.jpg
10002,床下収納,収納,,1階と2階の間にある床下収納です。,https://cdn.suvaco.jp/rooms/73079/d99cz8d2f8.jpg,d99cz8d2f8.jpg
10002,子供室,子供部屋,モダン,子供室はスキップフロアを生かして、2階のリビングから半層下がった場所にあります。,https://cdn.suvaco.jp/rooms/73081/173faz76dd.jpg,173faz76dd.jpg
,,,,,,
,,,,子供室がリビング近く、家族の_がりを強くします。,,
10002,デザインされた階段,その他,モダン,階段を上がると屋上リビングと子供室、リビングダイニングキッチンが現れる。,https://cdn.suvaco.jp/rooms/73083/caazeeded1.jpg,caazeeded1.jpg
10002,屋上バルコニーを見上げるLDK,リビングダイニング,モダン,リビングダイニングからは半層上がった屋上光庭バルコニーから採光する。,https://cdn.suvaco.jp/rooms/73085/z63e9z8594.jpg,z63e9z8594.jpg
10002,製作キッチン,キッチン,モダン,アイランドキッチンには伸縮式のテーブルを一体的にデザインして作り付けました。,https://cdn.suvaco.jp/rooms/73087/6e3b1d4126.jpg,6e3b1d4126.jpg
10002,キッチン造作テーブル,キッチン,モダン,折りたたみ式のテーブルを綴じたところ。,https://cdn.suvaco.jp/rooms/73089/2eb86z5f2d.jpg,2eb86z5f2d.jpg
,,,,天板はコーリアンの人造大理石,,
